no;x1;x2;MaxLength;Trophic Level;Trophic group;Water column;Diel Activity;Habitat;Gregariousness;comments;Eo Comments
70;Gymnocranius microdon;Gymnocranius microdon;45;3,4;Benthic invertivore;Demersal;Day;sand;1;no comment;no comment
71;Gymnocranius robinsoni;Gymnocranius grandoculis;80;3,8;Benthic invertivore;Demersal;Day;sand;1;now G. grandoculis;no comment
72;Gymnosarda unicolor;Gymnosarda unicolor;248;4,5;Higher carnivore;pelagic non-site attached;Day;coral;3;no comment;no comment
73;Gymnothorax flavimarginatus;Gymnothorax flavimarginatus;240;4,2;Benthic invertivore;benthic;Night;coral;1;no comment;no comment
74;Gymnothorax javanicus;Gymnothorax javanicus;300;3,9;Benthic invertivore;benthic;Night;coral;1;no comment;no comment
76;Hemiramphus far;Hemiramphus far;45;0;Planktivore;benthic;Day;Sand;3;no comment;no comment
77;Hipposcarus harid;Hipposcarus harid;75;2;Scraping herbivore;Demersal;Day;coral;3;no comment;no comment
78;Katsuwonus pelamis;Katsuwonus pelamis;110;4,4;Higher carnivore;pelagic non-site attached;#N/A;#N/A;#N/A;no comment;fishbase
79;Kyphosus vaigiensis;Kyphosus vaigiensis;70;2;Browsing herbivore;pelagic site attached;Day;coral;3;no comment;no comment
81;Lethrinus elongatus *;Lethrinus microdon;80;3,8;Benthic invertivore;Demersal;Day;coral;1;changed;no comment
82;Lethrinus harak;Lethrinus harak;50;3,6;Benthic invertivore;Demersal;Day;coral;1;no comment;no comment
83;Lethrinus lentjan;Lethrinus lentjan;52;4,2;Higher carnivore;Demersal;Day;coral;1;no comment;no comment
84;Lethrinus mahsena;Lethrinus mahsena;65;3,4;Benthic invertivore;Demersal;Day;coral;0;no comment;no comment
85;Lethrinus mahsenoides *;Lethrinus lentjan;52;4,2;Higher carnivore;Demersal;Day;coral;1;changed;no comment
86;Lethrinus nebulosus;Lethrinus nebulosus;87;3,3;Benthic invertivore;Demersal;Day;coral;1;no comment;no comment
87;Lethrinus ramak;Lethrinus obsoletus;60;3,4;Benthic invertivore;Demersal;Day;coral;1;changed;no comment
88;Lethrinus xanthochilus;Lethrinus xanthochilus;70;3,7;Benthic invertivore;Demersal;Day;coral;1;no comment;no comment
89;Lutjanus argentimaculatus;Lutjanus argentimaculatus;150;3,6;Higher carnivore;Demersal;Day;coral;2;no comment;no comment
90;Lutjanus bohar;Lutjanus bohar;90;4,1;Higher carnivore;Demersal;Day;coral;2;no comment;no comment
91;Lutjanus cf  fluviflamma;Lutjanus fulviflamma;35;3,8;Higher carnivore;Demersal;Day;coral;2;no comment;no comment
