survey;station;species;sequence;length;weight;sex;maturity;gonadweight;stomachfullness;stomachweight;otolith;bdep;lon;lat
2013002;63;SEREP12;1;61,5;4110;F;5;166;4;74;0;23;38,49983333;18,74366667
2013002;66;HOLSA03;1;37;730;M;1;5;4;38;0;60;38,512;18,74383333
2013002;66;LUTLU04;1;31;370;M;1;2;0;6;0;60;38,512;18,74383333
2013002;66;LUTLU04;2;36;600;M;2;14;2;11;0;60;38,512;18,74383333
2013002;67;LETLE05;1;59;1760;F;4;10;4;29;0;30;38,5115;18,74733333
2013002;67;LUTLU06;1;55;2190;M;1;2;4;24;0;30;38,5115;18,74733333
2013002;67;SERPL07;1;87;8580;M;6;7;4;64;0;30;38,5115;18,74733333
2013002;68;LUTLU06;3;72;5820;M;5;41;4;193;0;51;38,51216667;18,74733333
2013002;68;LUTLU06;2;53;1950;M;4;16;4;29;0;51;38,51216667;18,74733333
2013002;68;LUTLU06;1;50;1950;M;3;15;4;15;0;51;38,51216667;18,74733333
2013002;70;SEREP12;1;65;5150;F;5;258;0;94;0;10;38,49533333;18,74283333
2013002;74;LUTLU04;1;40;1000;M;2;6;4;46;0;22;38,67116667;18,52916667
2013002;74;LUTLU06;1;67;4370;M;2;1,8;4;72;0;22;38,67116667;18,52916667
2013002;74;LUTLU57;1;41;970;M;4;8;0;22;0;22;38,67116667;18,52916667
2013002;75;SHACAB1;1;98;2810;M;0;0;X;0;0;56;38,6555;18,53866667
2013002;76;LUTLU06;2;61;3340;F;4;47;0;65;0;51;38,66066667;18,53616667
2013002;76;LUTLU06;3;70;5800;M;4;30;0;133;0;51;38,66066667;18,53616667
2013002;76;LUTLU06;1;47;1700;F;3;12;0;4;0;51;38,66066667;18,53616667
2013002;76;SHACAB1;2;107;5870;M;0;0;X;0;0;51;38,66066667;18,53616667
2013002;76;SHACAB1;1;100;3320;M;0;0;X;0;0;51;38,66066667;18,53616667
2013002;77;LETLE02;1;38;820;M;1;1;2;26;0;25;38,47333333;18,42066667
2013002;78;LUTLU04;1;36;550;M;3;15;0;10;0;7;38,3335;18,44533333
2013002;78;LUTLU04;2;37;670;M;2;15;4;40;0;7;38,3335;18,44533333
2013002;78;LUTLU04;3;39;810;M;3;20;4;40;0;7;38,3335;18,44533333
2013002;78;LUTLU06;4;51;2380;F;6;21;4;92;0;7;38,3335;18,44533333
2013002;78;LUTLU06;2;37,5;760;F;6;0,5;0;55;0;7;38,3335;18,44533333
2013002;78;LUTLU06;1;36;560;F;6;0,5;4;20;0;7;38,3335;18,44533333
2013002;78;LUTLU06;3;48,5;1830;M;3;15;0;45;0;7;38,3335;18,44533333
2013002;79;LUTLU04;1;31;500;M;2;12;2;12;0;5;38,44783333;18,45566667
2013002;79;LUTLU04;2;35;620;M;3;14;0;9;0;5;38,44783333;18,45566667
2013002;80;LETLE13;1;32,5;520;M;6;0;X;0;0;22;38,4435;18,45566667
2013002;81;LUTLU06;1;40;820;M;6;6;4;55;0;22;38,433;18,4485
2013002;81;SEREP12;1;75;8030;F;6;119;4;1200;0;22;38,433;18,4485
2013002;82;LETLE02;2;37;730;M;6;1;0;10;0;69;38,42516667;18,44866667
2013002;82;LETLE02;1;29;340;F;2;7;0;5;0;69;38,42516667;18,44866667
2013002;82;LUTPR04;3;51;1400;M;2;10;0;12;0;69;38,42516667;18,44866667
2013002;82;LUTPR04;1;47;1080;F;5;25;4;39;0;69;38,42516667;18,44866667
2013002;82;LUTPR04;5;49;1280;M;2;6;0;39;0;69;38,42516667;18,44866667
